Year,Strata,Strata Name,County,Total Admits (ICD-9),30-day Readmits (ICD-9) ,30-day Readmission Rate (ICD-9),Total Admits (ICD-10),30-day Readmits (ICD-10) ,30-day Readmission Rate (ICD-10)
2013,Overall,Overall,Lassen,988,91,9.20%,,,
2013,Overall,Overall,Los Angeles,495144,73527,14.80%,,,
2013,Overall,Overall,Madera,6855,874,12.70%,,,
2013,Overall,Overall,Marin,11477,1220,10.60%,,,
2013,Overall,Overall,Mariposa,1016,106,10.40%,,,
2013,Overall,Overall,Mendocino,5355,612,11.40%,,,
2013,Overall,Overall,Merced,11581,1614,13.90%,,,
2013,Overall,Overall,Modoc,365,41,11.20%,,,
2013,Overall,Overall,Mono,249,15,6%,,,
2013,Overall,Overall,Monterey,17588,2002,11.40%,,,
2013,Overall,Overall,Napa,7829,1068,13.60%,,,
2013,Overall,Overall,Nevada,5831,774,13.30%,,,
2013,Overall,Overall,Orange,133419,17189,12.90%,,,
2013,Overall,Overall,Placer,18470,2139,11.60%,,,
2013,Overall,Overall,Plumas,828,92,11.10%,,,
2013,Overall,Overall,Riverside,110940,14914,13.40%,,,
2013,Overall,Overall,Sacramento,77051,10602,13.80%,,,
2013,Overall,Overall,San Benito,2616,335,12.80%,,,
2013,Overall,Overall,San Bernardino,104088,14890,14.30%,,,
2013,Overall,Overall,San Diego,152109,19775,13%,,,
2013,Overall,Overall,San Francisco,38608,5708,14.80%,,,
2013,Overall,Overall,San Joaquin,34379,4705,13.70%,,,
2013,Overall,Overall,San Luis Obispo,12778,1335,10.40%,,,
2013,Overall,Overall,San Mateo,29190,3583,12.30%,,,
2013,Overall,Overall,Santa Barbara,18594,1995,10.70%,,,
2013,Overall,Overall,Santa Clara,67810,8985,13.30%,,,
2013,Overall,Overall,Santa Cruz,10453,1058,10.10%,,,
2013,Overall,Overall,Shasta,13737,1449,10.50%,,,
2013,Overall,Overall,Sierra,94,9,9.60%,,,
2013,Overall,Overall,Siskiyou,2459,249,10.10%,,,
2013,Overall,Overall,Solano,20395,2736,13.40%,,,
2013,Overall,Overall,Sonoma,22136,2515,11.40%,,,
2013,Overall,Overall,Stanislaus,29926,4109,13.70%,,,
2013,Overall,Overall,Sutter,6109,802,13.10%,,,
2013,Overall,Overall,Tehama,3460,445,12.90%,,,
2013,Overall,Overall,Trinity,931,125,13.40%,,,
2013,Overall,Overall,Tulare,20826,2686,12.90%,,,
2013,Overall,Overall,Tuolumne,4050,530,13.10%,,,
2013,Overall,Overall,Ventura,38847,4814,12.40%,,,
2013,Overall,Overall,Yolo,7225,904,12.50%,,,
2013,Overall,Overall,Yuba,4804,683,14.20%,,,
2013,Race-Ethnicity,White,State,1055454,137269,13%,,,
2013,Race-Ethnicity,Other/Unknown,State,58659,7298,12.40%,,,
2013,Race-Ethnicity,Native American,State,5745,803,14%,,,
2013,Race-Ethnicity,Hispanic,State,419755,57734,13.80%,,,
2013,Race-Ethnicity,Asian/Pacific Islander,State,145024,19589,13.50%,,,
2013,Race-Ethnicity,African-American,State,176708,30804,17.40%,,,
2013,Sex,Male,State,880727,126320,14.30%,,,
2013,Sex,Female,State,980618,127177,13%,,,
2014,Age,65 years and above,State,910777,128864,14.10%,,,
2014,Age,45 to 64 years,State,623743,84969,13.60%,,,
2014,Age,18 to 44 years,State,297297,34881,11.70%,,,
2014,Expected Payer,Self-Pay,State,31122,2131,6.80%,,,
2014,Expected Payer,Private,State,415763,39775,9.60%,,,
2014,Expected Payer,Other,State,50437,4856,9.60%,,,
2014,Expected Payer,MediCare,State,970341,145784,15%,,,
2014,Expected Payer,Medi-Cal,State,364154,56168,15.40%,,,
2014,Overall,Overall,State,1831817,248714,13.60%,,,
2014,Overall,Overall,Alameda,65219,9398,14.40%,,,
2014,Overall,Overall,Alpine,11,0,0%,,,
2014,Overall,Overall,Amador,2599,319,12.30%,,,
2014,Overall,Overall,Butte,21081,3558,16.90%,,,
2014,Overall,Overall,Calaveras,2901,387,13.30%,,,
2014,Overall,Overall,Colusa,1039,144,13.90%,,,
2014,Overall,Overall,Contra Costa,52940,7257,13.70%,,,
2014,Overall,Overall,Del Norte,1352,162,12%,,,
2014,Overall,Overall,El Dorado,9331,1102,11.80%,,,
2014,Overall,Overall,Fresno,46943,6283,13.40%,,,
2014,Overall,Overall,Glenn,1898,272,14.30%,,,
2014,Overall,Overall,Humboldt,7543,821,10.90%,,,
2014,Overall,Overall,Imperial,7519,1046,13.90%,,,
2014,Overall,Overall,Inyo,834,64,7.70%,,,
2014,Overall,Overall,Kern,40730,5474,13.40%,,,
2014,Overall,Overall,Kings,6126,761,12.40%,,,
2014,Overall,Overall,Lake,5053,771,15.30%,,,
2014,Overall,Overall,Lassen,1028,129,12.50%,,,
2014,Overall,Overall,Los Angeles,489218,72658,14.90%,,,
2014,Overall,Overall,Madera,6780,835,12.30%,,,
2014,Overall,Overall,Marin,10679,1167,10.90%,,,
2014,Overall,Overall,Mariposa,1089,147,13.50%,,,
2014,Overall,Overall,Mendocino,5164,590,11.40%,,,
2014,Overall,Overall,Merced,11433,1530,13.40%,,,
2014,Overall,Overall,Modoc,322,25,7.80%,,,
2014,Overall,Overall,Mono,270,33,12.20%,,,
2014,Overall,Overall,Monterey,16384,1666,10.20%,,,
2014,Overall,Overall,Napa,7288,932,12.80%,,,
2014,Overall,Overall,Nevada,5736,711,12.40%,,,
2014,Overall,Overall,Orange,130679,16685,12.80%,,,
2014,Overall,Overall,Placer,17446,1973,11.30%,,,
2014,Overall,Overall,Plumas,854,120,14.10%,,,
2014,Overall,Overall,Riverside,111062,14744,13.30%,,,
2014,Overall,Overall,Sacramento,78028,10662,13.70%,,,
2014,Overall,Overall,San Benito,2594,325,12.50%,,,
2014,Overall,Overall,San Bernardino,101796,14251,14%,,,
2014,Overall,Overall,San Diego,150420,19696,13.10%,,,
2014,Overall,Overall,San Francisco,37820,5785,15.30%,,,
2014,Overall,Overall,San Joaquin,36070,4990,13.80%,,,
2014,Overall,Overall,San Luis Obispo,12268,1316,10.70%,,,
2014,Overall,Overall,San Mateo,27209,3434,12.60%,,,
2014,Overall,Overall,Santa Barbara,18621,1965,10.60%,,,
2014,Overall,Overall,Santa Clara,65778,8641,13.10%,,,
2014,Overall,Overall,Santa Cruz,10498,1078,10.30%,,,
2014,Overall,Overall,Shasta,13566,1462,10.80%,,,
2014,Overall,Overall,Sierra,127,10,7.90%,,,
2014,Overall,Overall,Siskiyou,2143,203,9.50%,,,
2014,Overall,Overall,Solano,19610,2685,13.70%,,,
2014,Overall,Overall,Sonoma,21862,2540,11.60%,,,
2014,Overall,Overall,Stanislaus,30096,4036,13.40%,,,
2014,Overall,Overall,Sutter,5555,724,13%,,,
2014,Overall,Overall,Tehama,3368,420,12.50%,,,
2014,Overall,Overall,Trinity,889,122,13.70%,,,
2014,Overall,Overall,Tulare,20841,2622,12.60%,,,
2014,Overall,Overall,Tuolumne,3973,505,12.70%,,,
2014,Overall,Overall,Ventura,38377,4630,12.10%,,,
2014,Overall,Overall,Yolo,7365,829,11.30%,,,
